Date,Inflation
1/29/2010,14.4
2/28/2010,15.6
3/31/2010,14.8
4/30/2010,15
5/31/2010,12.9
6/30/2010,14.1
7/31/2010,13
8/31/2010,13.7
9/30/2010,13.6
10/31/2010,13.4
11/30/2010,12.8
12/31/2010,11.8
1/31/2011,12.1
2/28/2011,11.1
3/31/2011,12.8
4/30/2011,11.3
5/31/2011,12.4
6/30/2011,10.2
7/31/2011,9.4
8/31/2011,9.3
9/30/2011,10.3
10/31/2011,10.5
11/30/2011,10.5
12/31/2011,10.3
1/31/2012,12.6
2/29/2012,11.9
3/31/2012,12.1
4/30/2012,12.9
5/31/2012,12.7
6/30/2012,12.9
7/31/2012,12.8
8/31/2012,11.7
9/30/2012,11.3
10/31/2012,11.7
11/30/2012,12.3
12/31/2012,12
1/31/2013,9
2/28/2013,9.5
3/31/2013,8.6
4/30/2013,9.1
5/31/2013,9
6/30/2013,8.4
7/31/2013,8.7
8/31/2013,8.2
9/30/2013,8
10/31/2013,7.8
11/30/2013,7.9
12/31/2013,8
1/31/2014,8
2/28/2014,7.7
3/31/2014,7.8
4/30/2014,7.9
5/31/2014,8
6/30/2014,8.2
7/31/2014,8.3
8/31/2014,8.5
9/30/2014,8.3
10/31/2014,8.1
11/30/2014,7.9
12/31/2014,8
1/31/2015,8.2
2/28/2015,8.4
3/31/2015,8.5
4/30/2015,8.7
5/31/2015,9
6/30/2015,9.2
7/31/2015,9.2
8/31/2015,9.3
9/30/2015,9.4
10/31/2015,9.3
11/30/2015,9.4
12/31/2015,9.6
1/31/2016,9.6
2/29/2016,11.4
3/31/2016,12.8
4/30/2016,13.7
5/31/2016,15.6
6/30/2016,16.5
7/31/2016,17.1
8/31/2016,17.6
9/30/2016,17.9
10/31/2016,18.3
11/30/2016,18.5
12/31/2016,18.5
1/31/2017,18.7
2/28/2017,17.8
3/31/2017,17.3
4/30/2017,17.2
5/31/2017,16.3
6/30/2017,16.1
7/31/2017,16.1
8/31/2017,16
9/30/2017,16
10/31/2017,15.9
11/30/2017,15.9
12/31/2017,15.4
1/31/2018,15.1
2/28/2018,14.3
3/31/2018,13.3
4/30/2018,12.5
5/31/2018,11.6
6/30/2018,11.2
7/31/2018,11.1
8/31/2018,11.2
9/30/2018,11.3
10/31/2018,11.3
11/30/2018,11.3
12/31/2018,11.4
1/31/2019,11.4
2/28/2019,11.3
3/31/2019,11.3
4/30/2019,11.4
5/31/2019,11.4
6/30/2019,11.2
7/31/2019,11.1
8/31/2019,11
9/30/2019,11.2
10/31/2019,11.6
11/30/2019,11.9
12/31/2019,12
1/31/2020,12.1
2/29/2020,12.2
3/31/2020,12.3
4/30/2020,12.3
5/31/2020,12.4
6/30/2020,12.6
7/31/2020,12.8
8/31/2020,13.2
9/30/2020,13.7
10/31/2020,14.2
11/30/2020,14.9
12/31/2020,15.8
1/31/2021,16.5
2/28/2021,17.3
3/31/2021,18.2
4/30/2021,18.1
5/31/2021,17.9
6/30/2021,17.8
7/31/2021,17.4
8/31/2021,17.0
9/30/2021,16.6
10/31/2021,16.0
11/30/2021,15.4
12/31/2021,15.6
